Job_title,Company,Location,Salary,Posted,Job_description
Data Architect,Sopra Steria Limited,UK,"From £60,000 to £80,000 per annum",Today,"Are you looking for your next exciting role in a growing and forward thinking organisation? We are recruiting for a Data Architect to join our Architecture practice. Within this role you will be designing and visualising the organisation's data management framework describing the processes used to plan, define, acquire, maintain and control data, and providing guidance on data governance, integration, security, master and metadata management, data acquisition and migration, and data quality principles. We can offer great career progression opportunities, ability to be based anywhere across the UK, benefits which you can flex to meet your needs and training and development opportunities."
Java Big Data Developer,Staffworx Limited,"HX1, Halifax",Up to £900 per day to £850 day inside IR35,Posted 6 days ago,"Lead Data Engineer (GCP, Java, Python, Kafka, K8S) - remote contract - high profile client Senior, Lead GCP Data Engineer - remote contract Senior Google Cloud Platform Data Engineer with strong Java and Python to lead data engineering workstream in design and build of data platform including data ingestion, streaming and data warehousing 6 months rolling contract, inside IR35, remote Experience * GCP (Google Cloud Platform) * Kafka, BigQuery, Kubernetes, SQL * Java & Python experience * Terraform * Data Engineering, Data Pipelines * Kafka connect & streams * work as a technical architect with a Data Architect or Data Modeler * Ability to lead data engineers * Working under DevOps and GitOps led processes and tools Contract will fall within scope of IR35, so umbrella company will need to be engaged. #gcp #kafka #dataengineer #java #k8s"
Data Engineer (Remote),Cloud Decisions,"Ancoats, M1 1AG",£60k - 70k per year + Certifications + Benefits,Posted 7 days ago,"Data Engineer / Consultant Remote role (UK based) c.£65k (can be flexible) + Bonus (up tp £10k) + Benefits As a Data Engineer /Consultant, you will be responsible for delivering, and deploying Data services based on the latest Microsoft Technologies. You will be working from home, having a major impact on developing Data Talent within the team (along side the Lead Architect) whilst working for a well respected and growing Gold Microsoft Partner. · Proven Data Engineering background within Microsoft environment · Solid SQL skills · Exposure/knowledge across Azure Data Services (Azure Data Factory + Synapse advantageous) · Excellent communication skills to liaise with internal team and customers · Relevant Microsoft Certifications (DP-203, DP-300 etc) · Azure Synapse experience · Python skills"
Lead Data Engineer,IQ TECH NORTH,"Manchester, Greater Manchester",£80k - 85k per year + flexible working and fantastic benefits package!,Posted 16 days ago,"**Exciting New Lead Data Engineer Opportunity not to be missed!** (Ideally 1 day a week at our client's fabulous office!) This is a brand-new role that has been created for growth purposes and an important one to lead and make a big impact on a small but growing, friendly Data Engineering team, whilst demonstrating a community of best practice. It is an exciting time to join in the early stages of our client’s data engineering journey, leading, line managing and coaching a successful team of 4 (3 Data Engineers and 1 DBA) which has been built slowly over last 6-9 months. As a Lead Data Engineer at the top of your technical profession, you will invest time in upskilling the team, particularly in Databricks, as this is the backbone of our clients’ data warehouse, so you will need to be an expert in Databricks and its components, including delta lakes etc."
Estimator,GPW Recruitment,"M1, Manchester",£35000 - £42000 per annum,Posted 2 days ago,"Job Title: Estimator Duration: Perm Location: Manchester Salary: £35,000 - £42,000per annum We're looking for a talented Estimator to work for our client based in Manchester. If that's you then you could be exactly what they're looking for. As the Estimator you will be primarily responsible for estimating production costs - Supporting telesales - Collecting quotes from material suppliers and sub-contractor - Assessing levels of risk and compiling quotations. - Liaising with and visiting customers will also be a part of the role so you must be prepared to travel if necessary. The ideal candidate for this Estimator role will require an understanding of simple to complex engineering drawings - Knowledge of materials and surface treatments - Understanding of 3D Model data"
Principal Data Engineer,BBC,"Salford, Greater Manchester",Competitive Salary + Benefits,Posted 23 days ago,"Job Introduction Are you looking for a role that builds on your experience with engineering data systems and brings hands-on experience with machine learning? Are you keen to learn, grow, and develop? Do you want to work in a nurturing culture where you can flourish and be your best? Would you like to work on services that are used by key BBC products and millions of people each day? If so, this opportunity could be for you. The Content Publishing team's mission is to build unrivalled fully-accessible tools to enable journalists across the globe to create, curate and describe the world's best journalism content in over 40 languages. Our team is central to the success of the BBC. We are in the middle of solving some big questions: How do we put tagging at the heart of a personalised BBC?"
Data Engineer,Cloud Decisions,"M11, Manchester, M11 2EP",£40k - 60k per year + Microsoft Certifications + Benefits,Posted 30 days ago,"Join an organisation recognised as a global leader. Those that join are exposed to; the latest technology, inclusive + flexible culture and guaranteed to evolve their skills at all levels. Offices across the UK Hybrid working (flexible arrangements) Up to £60k + Extensive Benefits (Engineer, Senior + Manager levels needed) Passionate about providing employees with the necessary skills, experience, and training to help development both personally and professionally * Relevant commercial experience in a Data Engineering role * SQL and Python skills * Practical experience working with cloud platforms (specifically Azure) * Experience building and maintaining data pipelines and architecture * Experience with both PaaS (Platform-as-a-Service) and IaaS (Infrastructure as a Service) * Open to learning new technologies, methodologies, and skills"
Senior Data Engineer,Randstad Tech IT,"M1, Manchester",£70000 - £90000 per annum,Expires in 1 day,"Randstad has recently partnered with a leading global financial services organisation, and is currently in the market for a Senior Data Engineer to come on board and join their Data Solutions Division in central Manchester. They are looking for someone who has cloud data engineering experience as well as being well versed in Python, working on complex data pipelines using AWS Lambda, Redshift, Serverless and more. * Well versed with Data practices and technologies including data lake, data warehousing, data integration patterns (ETL, services, messaging), analytics and business intelligence. * Hands-on experience on some of the following - AWS Lambda, Fargate, SQS, DynamoDB and Serverless AWS RDS and Redshift. * Open-source frameworks and developing native Cloud solutions. * Highly experienced in using SQL"
Data Science Lead,Searchability (UK) Ltd,"Salford, Greater Manchester",Up to £85000 per annum,Posted 7 days ago,"We combine the expertise throughout our team surrounding innovation, research and development to create cutting edge products that assist in solving any problems our customers might have. This ultimately makes the world more safe and secure. * Salary up to £85,000 + attractive benefits * Office in Salford Quays with hybrid working model * Navigation Systems experience * Machine Learning, AWS, Python * Provide technical leadership and be a focal point for data engineering, machine learning, cloud, DevOps and Software Engineering teams * Leading on engagement with customers * Play a role in bids and technical proposals * Work alongside Delivery Lead/Project Manager to develop roadmaps, understand delivery timescales and communicate these to the customer * 6% performance bonus * £3,000 DV bonus * Salary up to £85,000 * Experience designing and building data platforms"
Data Engineer Mid Senior Salford,BBC,"Salford, Greater Manchester",Competitive Salary + Benefits,Posted 28 days ago,"Job Introduction Are you looking for a role that builds on your experience with engineering data systems? Are you keen to learn, grow, and develop? Do you want to work in a nurturing culture where you can flourish and be your best? Would you like to work on services that are used by key BBC products and millions of people each day? If so, this opportunity could be for you. We are currently looking for talented Data Engineers to join our data teams here in the BBC. We are looking for talent at all levels that have a passion for engineering software with a focus on managing the huge amounts of data we manage and the systems that support it all. We currently have roles open in London, Manchester and Glasgow working in a hybrid way."
